Cell_line	Sample	Replicate	Name	Source	Primary.Disease	Subtype	Primary_Site	Culture_medium	Primary_Metastasis	Cas9.activity	Median.CRISPR.guide.score.of.positive.controls	p53.Status	p53.Source
A375	A375.311cas9.Rep.A.p9	A	A375_SKIN	ATCC	Melanoma	NA	skin	DMEM; 10% FBS	primary	90.4	-1.086	WT	CCLE/COSMIC
A375	A375.311cas9.Rep.B.p9	B	A375_SKIN	ATCC	Melanoma	NA	skin	DMEM; 10% FBS	primary	90.4	-1.086	WT	CCLE/COSMIC
A375	A375.311cas9.Rep.C.p9	C	A375_SKIN	ATCC	Melanoma	NA	skin	DMEM; 10% FBS	primary	90.4	-1.086	WT	CCLE/COSMIC
A375	A375.311cas9.Rep.D.p9	D	A375_SKIN	ATCC	Melanoma	NA	skin	DMEM; 10% FBS	primary	90.4	-1.086	WT	CCLE/COSMIC
A673	A.673.311Cas9.Rep.D.p9	D	A673_BONE	ATCC	Bone sarcoma	Ewings	bone	DMEM; 10% FBS	primary	67.2	-0.4409	p.A119fs	CCLE/COSMIC
A673	A.673.311Cas9.Rep.C.p9	C	A673_BONE	ATCC	Bone sarcoma	Ewings	bone	DMEM; 10% FBS	primary	67.2	-0.4409	p.A119fs	CCLE/COSMIC
A673	A.673.311Cas9.Rep.B.p9	B	A673_BONE	ATCC	Bone sarcoma	Ewings	bone	DMEM; 10% FBS	primary	67.2	-0.4409	p.A119fs	CCLE/COSMIC
A673	A.673.311Cas9.Rep.A.p9	A	A673_BONE	ATCC	Bone sarcoma	Ewings	bone	DMEM; 10% FBS	primary	67.2	-0.4409	p.A119fs	CCLE/COSMIC
CADOES1	CADO.ES.1.311Cas9.Rep.C.p4	C	CADOES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS	metastasis	97.8	-0.7117	WT	CCLE/COSMIC
CADOES1	CADO.ES.1.311Cas9.Rep.D.p4	D	CADOES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS	metastasis	97.8	-0.7117	WT	CCLE/COSMIC
CADOES1	CADO.ES.1.311Cas9.Rep.B.p4	B	CADOES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS	metastasis	97.8	-0.7117	WT	CCLE/COSMIC
CADOES1	CADO.ES.1.311Cas9.Rep.A.p4	A	CADOES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS	metastasis	97.8	-0.7117	WT	CCLE/COSMIC
CAL120	CAL.120.311Cas9.Rep.B.p6	B	CAL120_BREAST	DSMZ	Breast	Breast carcinoma	breast	DMEM; 10% FBS	metastasis	80.2	-0.6689	p.?_splice	CCLE/COSMIC
CAL120	CAL.120.311Cas9.Rep.A.p6	A	CAL120_BREAST	DSMZ	Breast	Breast carcinoma	breast	DMEM; 10% FBS	metastasis	80.2	-0.6689	p.?_splice	CCLE/COSMIC
CAL120	CAL.120.311Cas9.Rep.D.p6	D	CAL120_BREAST	DSMZ	Breast	Breast carcinoma	breast	DMEM; 10% FBS	metastasis	80.2	-0.6689	p.?_splice	CCLE/COSMIC
COLO741	COLO.741.311Cas9.Rep.D.p6	D	COLO741_SKIN	ECACC	Melanoma	Carcinoma	skin	RPMI; 10% FBS	primary	82.6	-0.4427	"p.K321fs,p.P322fs*"	CCLE/COSMIC
COLO741	COLO.741.311Cas9.Rep.B.p6	B	COLO741_SKIN	ECACC	Melanoma	Carcinoma	skin	RPMI; 10% FBS	primary	82.6	-0.4427	"p.K321fs,p.P322fs*"	CCLE/COSMIC
COLO741	COLO.741.311Cas9.Rep.C.p6	C	COLO741_SKIN	ECACC	Melanoma	Carcinoma	skin	RPMI; 10% FBS	primary	82.6	-0.4427	"p.K321fs,p.P322fs*"	CCLE/COSMIC
CORL105	COR.L105.311cas9.Rep.C.p8	C	CORL105_LUNG	ECACC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	84.7	-0.7043	WT	COSMIC
