id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
Mad2l1	5	3.1441e-10	2.5852e-07	0.000825	1	5	1.0	1.0	1.0	19149	0
Rps5	5	9.2321e-09	2.5852e-07	0.000825	2	5	1.0	1.0	1.0	19148	0
Rpl19	4	1.2881e-08	2.5852e-07	0.000825	3	4	1.0	1.0	1.0	19147	0
Ppp2r4	5	2.9862e-08	2.5852e-07	0.000825	4	5	1.0	1.0	1.0	19146	0
Kif18b	5	3.7552e-08	2.5852e-07	0.000825	5	5	0.99999	1.0	1.0	19124	0
Uba3	5	1.3975e-07	2.5852e-07	0.000825	6	4	0.50779	0.64758	1.0	12087	1
Gtf2b	5	1.667e-07	7.7557e-07	0.00165	7	5	1.0	1.0	1.0	19145	0
Gtpbp4	5	1.7749e-07	7.7557e-07	0.00165	8	5	0.9996	0.99961	1.0	18974	0
Mcm7	5	1.8875e-07	7.7557e-07	0.00165	9	5	1.0	1.0	1.0	19144	0
Metap1	5	3.5687e-07	1.2926e-06	0.002475	10	5	1.0	1.0	1.0	19143	0
Pwp2	5	4.3415e-07	1.8097e-06	0.00315	11	5	1.0	1.0	1.0	19142	0
Gins4	5	5.3463e-07	2.3267e-06	0.003713	12	5	1.0	1.0	1.0	19141	0
Wdr77	5	5.9996e-07	2.8438e-06	0.004189	13	4	0.99709	0.99712	1.0	18733	0
Psmd11	4	7.6572e-07	3.3608e-06	0.00452	14	4	1.0	1.0	1.0	19140	0
D19Bwg1357e	5	9.9602e-07	4.3949e-06	0.00452	15	5	1.0	1.0	1.0	19139	0
Pes1	5	1.0743e-06	4.3949e-06	0.00452	16	5	1.0	1.0	1.0	19138	0
Nubp2	5	1.1151e-06	4.3949e-06	0.00452	17	4	0.99422	0.99426	1.0	18600	0
Hspa5	4	1.128e-06	4.3949e-06	0.00452	18	4	1.0	1.0	1.0	19137	0
Dkc1	5	1.2235e-06	4.912e-06	0.00452	19	5	0.99972	0.99973	1.0	19001	0
Pnn	5	1.2639e-06	4.912e-06	0.00452	20	5	1.0	1.0	1.0	19136	0
Uba2	5	1.6519e-06	5.429e-06	0.00452	21	5	0.99999	0.99999	1.0	19118	0
Cct5	5	1.6985e-06	5.429e-06	0.00452	22	5	1.0	1.0	1.0	19135	0
Hsd17b10	5	1.7399e-06	5.429e-06	0.00452	23	4	0.27923	0.46308	0.983579	9014	1
Mfn1	5	2.2184e-06	8.0143e-06	0.006283	24	4	0.59844	0.7153	1.0	13238	1
Uqcrc1	5	2.3834e-06	8.5313e-06	0.006283	25	5	1.0	1.0	1.0	19134	0
Vps13d	5	2.6844e-06	8.5313e-06	0.006283	26	5	1.0	1.0	1.0	19133	0
Cse1l	5	2.8303e-06	9.0484e-06	0.006417	27	5	1.0	1.0	1.0	19132	0
Eftud1	5	3.4651e-06	1.2151e-05	0.00831	28	4	0.84185	0.85321	1.0	15651	1
2310003F16Rik	5	3.8513e-06	1.5253e-05	0.008769	29	5	0.99984	0.99985	1.0	19032	0
Vps72	5	3.8513e-06	1.5253e-05	0.008769	30	5	0.99988	0.99989	1.0	19053	0
Mcm6	5	3.8513e-06	1.5253e-05	0.008769	31	4	0.47712	0.62388	1.0	11650	1
Polr3b	5	3.875e-06	1.5253e-05	0.008769	32	5	1.0	1.0	1.0	19131	0
Rps18	3	3.9528e-06	1.577e-05	0.008769	33	3	1.0	1.0	1.0	19130	0
Plk1	5	4.0245e-06	1.577e-05	0.008769	34	5	0.99998	0.99999	1.0	19112	0
Med25	5	4.0458e-06	1.6029e-05	0.008769	35	4	0.59615	0.71347	1.0	13209	1
Aldoa	3	4.2517e-06	1.7321e-05	0.008964	36	3	1.0	1.0	1.0	19129	0
Pmpcb	5	4.3367e-06	1.7321e-05	0.008964	37	4	0.86515	0.87071	1.0	15986	1
Luc7l3	5	4.5254e-06	1.8872e-05	0.009297	38	5	1.0	1.0	1.0	19128	0
Jak1	5	4.6184e-06	1.9906e-05	0.009297	39	3	0.95416	0.95399	1.0	17534	0
Thg1l	5	4.6244e-06	1.9906e-05	0.009297	40	5	0.99993	0.99994	1.0	19077	0
March5	5	4.6797e-06	1.9906e-05	0.009297	41	3	0.5244	0.6597	1.0	12306	2
Mphosph10	5	4.8081e-06	2.0423e-05	0.009312	42	5	1.0	1.0	1.0	19127	0
Rrm1	5	4.8879e-06	2.1458e-05	0.009556	43	5	0.99995	0.99996	1.0	19091	0
Tnpo1	5	5.055e-06	2.2492e-05	0.009788	44	5	0.99999	1.0	1.0	19126	0
Hdac3	5	5.2109e-06	2.3009e-05	0.009791	45	5	0.99999	1.0	1.0	19125	0
Rrp1	5	5.6946e-06	2.5077e-05	0.010439	46	5	0.99989	0.99989	1.0	19056	0
Tmem11	5	6.138e-06	2.6628e-05	0.010849	47	5	0.99999	1.0	1.0	19123	0
Alg13	5	6.8844e-06	2.7662e-05	0.011012	48	4	0.99627	0.99631	1.0	18694	0
Abcb7	5	7.2008e-06	2.8179e-05	0.011012	49	4	0.97842	0.97835	1.0	18073	0
Med6	5	7.6536e-06	3.0764e-05	0.011782	50	3	0.97492	0.97486	1.0	17982	0
Atp6v1d	5	8.2859e-06	3.335e-05	0.012281	51	5	0.99999	1.0	1.0	19122	0
Nfs1	5	8.4245e-06	3.335e-05	0.012281	52	5	0.99858	0.9986	1.0	18851	0
Pet112l	5	8.7255e-06	3.4901e-05	0.01261	53	5	0.99999	1.0	1.0	19121	0
Psmg4	3	8.7603e-06	3.5935e-05	0.012743	54	3	0.98112	0.9811	1.0	18140	0
Polr2b	5	1.0886e-05	4.2915e-05	0.014941	55	5	0.99999	1.0	1.0	19120	0
Psma7	5	1.1291e-05	4.6793e-05	0.015894	56	5	0.99829	0.99832	1.0	18825	0
Actl6a	5	1.1747e-05	4.731e-05	0.015894	57	4	0.99756	0.99759	1.0	18763	0
Snrnp200	5	1.3494e-05	6.0753e-05	0.019886	58	5	0.9998	0.99981	1.0	19022	0
