id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
Ddb1	5	1.2701e-10	2.687e-07	0.00016	1	5	1.0	1.0	1.0	18424	0
Ears2	5	6.9845e-10	2.687e-07	0.00016	2	5	1.0	1.0	1.0	18423	0
Fau	5	1.2761e-09	2.687e-07	0.00016	3	5	1.0	1.0	1.0	18422	0
Imp3	5	1.2803e-09	2.687e-07	0.00016	4	5	1.0	1.0	1.0	18421	0
Eef2	5	1.88e-09	2.687e-07	0.00016	5	5	1.0	1.0	1.0	18420	0
Dhx37	5	1.9626e-09	2.687e-07	0.00016	6	5	1.0	1.0	1.0	18419	0
Pold1	5	2.2144e-09	2.687e-07	0.00016	7	5	1.0	1.0	1.0	18418	0
Rrs1	5	3.6086e-09	2.687e-07	0.00016	8	5	1.0	1.0	1.0	18417	0
Ints7	5	4.027e-09	2.687e-07	0.00016	9	5	1.0	1.0	1.0	18416	0
Gpn2	5	7.8344e-09	2.687e-07	0.00016	10	5	1.0	1.0	1.0	18415	0
Atad3a	5	9.0362e-09	2.687e-07	0.00016	11	5	1.0	1.0	1.0	18414	0
Pdcd2l	5	9.1795e-09	2.687e-07	0.00016	12	5	1.0	1.0	1.0	18413	0
Mrps12	5	1.215e-08	2.687e-07	0.00016	13	5	1.0	1.0	1.0	18412	0
Cars2	5	1.567e-08	2.687e-07	0.00016	14	5	1.0	1.0	1.0	18411	0
Sall4	10	1.603e-08	2.687e-07	0.00016	15	10	1.0	1.0	1.0	18410	0
Romo1	5	1.6975e-08	2.687e-07	0.00016	16	5	1.0	1.0	1.0	18409	0
Dut	5	1.766e-08	2.687e-07	0.00016	17	5	1.0	1.0	1.0	18408	0
Polr1b	5	2.1625e-08	2.687e-07	0.00016	18	5	1.0	1.0	1.0	18407	0
Srsf2	5	2.5378e-08	2.687e-07	0.00016	19	5	1.0	1.0	1.0	18406	0
Polr2j	5	2.5611e-08	2.687e-07	0.00016	20	5	1.0	1.0	1.0	18405	0
Rrp7a	5	2.8444e-08	2.687e-07	0.00016	21	5	1.0	1.0	1.0	18404	0
Wdr74	5	2.8495e-08	2.687e-07	0.00016	22	5	1.0	1.0	1.0	18403	0
Lsm4	5	2.906e-08	2.687e-07	0.00016	23	5	1.0	1.0	1.0	18402	0
Rbbp4	5	2.9898e-08	2.687e-07	0.00016	24	5	1.0	1.0	1.0	18401	0
Mars2	5	3.0647e-08	2.687e-07	0.00016	25	5	1.0	1.0	1.0	18400	0
Ndufa2	5	3.1028e-08	2.687e-07	0.00016	26	5	1.0	1.0	1.0	18399	0
Med20	5	3.5525e-08	2.687e-07	0.00016	27	5	1.0	1.0	1.0	18398	0
Arpc4	9	3.8958e-08	2.687e-07	0.00016	28	9	1.0	1.0	1.0	18397	0
Rpl8	5	4.3842e-08	2.687e-07	0.00016	29	5	1.0	1.0	1.0	18396	0
Tonsl	5	4.6684e-08	2.687e-07	0.00016	30	5	1.0	1.0	1.0	18395	0
Exosc4	5	4.7293e-08	2.687e-07	0.00016	31	5	1.0	1.0	1.0	18394	0
Eif3g	5	5.2977e-08	8.0609e-07	0.000286	32	5	1.0	1.0	1.0	18393	0
Tinf2	5	5.3949e-08	8.0609e-07	0.000286	33	5	1.0	1.0	1.0	18308	0
Mrps16	5	5.7209e-08	8.0609e-07	0.000286	34	5	1.0	1.0	1.0	18392	0
Pced1b	5	5.9103e-08	8.0609e-07	0.000286	35	5	1.0	1.0	1.0	18391	0
