id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
RPL13	5	2.5216e-12	2.7489e-07	0.00033	1	5	1.0	1.0	1.0	18009	0
CENPM	10	2.0376e-11	2.7489e-07	0.00033	2	10	1.0	1.0	1.0	17991	0
DNM2	5	2.2057e-11	2.7489e-07	0.00033	3	5	1.0	1.0	1.0	17998	0
CCND3	15	2.0839e-10	2.7489e-07	0.00033	4	13	0.96168	0.96153	1.0	16288	1
TPI1	9	5.1335e-10	2.7489e-07	0.00033	5	8	0.99995	0.99996	1.0	17787	0
RPS19	5	7.7018e-10	2.7489e-07	0.00033	6	5	1.0	1.0	1.0	18008	0
PLK1	5	1.9883e-09	2.7489e-07	0.00033	7	5	1.0	1.0	1.0	18007	0
PSMG4	6	3.0728e-09	2.7489e-07	0.00033	8	6	0.99992	0.99993	1.0	17750	0
RPL8	5	4.0855e-09	2.7489e-07	0.00033	9	5	1.0	1.0	1.0	18004	0
ALG2	5	5.8165e-09	2.7489e-07	0.00033	10	5	1.0	1.0	1.0	18006	0
UBE2M	5	7.7181e-09	2.7489e-07	0.00033	11	5	1.0	1.0	1.0	18005	0
MED20	5	1.0745e-08	2.7489e-07	0.00033	12	5	1.0	1.0	1.0	18003	0
CFL1	5	1.1633e-08	2.7489e-07	0.00033	13	5	1.0	1.0	1.0	18002	0
SF3B5	5	1.2552e-08	2.7489e-07	0.00033	14	5	1.0	1.0	1.0	18001	0
EXOSC6	5	1.8044e-08	2.7489e-07	0.00033	15	4	0.99885	0.99884	1.0	17470	0
GLRX5	5	2.2701e-08	5.4978e-07	0.000619	16	5	1.0	1.0	1.0	18000	0
MOCS3	5	2.677e-08	8.2467e-07	0.000782	17	5	1.0	1.0	1.0	17999	0
GPN2	5	3.0268e-08	8.2467e-07	0.000782	18	5	1.0	1.0	1.0	17997	0
DNAJC9	5	3.6236e-08	8.2467e-07	0.000782	19	4	0.90409	0.90478	1.0	15257	0
SAE1	6	5.1663e-08	1.3745e-06	0.000798	20	6	1.0	1.0	1.0	17951	0
PPP2CA	5	5.7378e-08	1.3745e-06	0.000798	21	5	1.0	1.0	1.0	17996	0
