id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
PPP1R8	15	6.8682e-11	2.7489e-07	0.000381	1	15	1.0	1.0	1.0	18009	0
BRF1	13	1.0858e-10	2.7489e-07	0.000381	2	12	0.9957	0.99566	1.0	16638	1
MOCS3	5	2.2891e-10	2.7489e-07	0.000381	3	5	1.0	1.0	1.0	18008	0
ARFRP1	12	1.8977e-09	2.7489e-07	0.000381	4	12	1.0	1.0	1.0	17998	0
TUBD1	10	4.9028e-09	2.7489e-07	0.000381	5	10	1.0	1.0	1.0	18007	0
ARPC4	9	5.5149e-09	2.7489e-07	0.000381	6	9	1.0	1.0	1.0	18006	0
NDUFS7	5	5.6062e-09	2.7489e-07	0.000381	7	5	1.0	1.0	1.0	18005	0
PSMB5	10	5.6406e-09	2.7489e-07	0.000381	8	10	1.0	1.0	1.0	18004	0
URM1	8	6.6457e-09	2.7489e-07	0.000381	9	7	0.60823	0.72166	1.0	11865	1
FAU	5	1.2291e-08	2.7489e-07	0.000381	10	5	1.0	1.0	1.0	18003	0
CPSF1	5	1.3251e-08	2.7489e-07	0.000381	11	5	1.0	1.0	1.0	18002	0
RPL13	5	1.6597e-08	2.7489e-07	0.000381	12	5	1.0	1.0	1.0	18001	0
SARS2	5	1.7572e-08	2.7489e-07	0.000381	13	5	1.0	1.0	1.0	17974	0
SNAPC2	5	3.4375e-08	8.2467e-07	0.000669	14	5	0.99878	0.99878	1.0	17028	0
WDR18	5	4.0566e-08	8.2467e-07	0.000669	15	5	1.0	1.0	1.0	18000	0
RPL13A	4	4.525e-08	8.2467e-07	0.000669	16	4	1.0	1.0	1.0	17999	0
CSTF3	8	4.6306e-08	8.2467e-07	0.000669	17	8	1.0	1.0	1.0	17997	0
NDUFA2	6	5.1058e-08	8.2467e-07	0.000669	18	6	1.0	1.0	1.0	17996	0
RRS1	5	5.7422e-08	1.0996e-06	0.000669	19	5	1.0	1.0	1.0	17995	0
DDX54	5	6.3482e-08	1.3745e-06	0.000669	20	5	1.0	1.0	1.0	17994	0
TPI1	9	6.7322e-08	1.3745e-06	0.000669	21	9	1.0	1.0	1.0	17993	0
PARS2	5	6.9368e-08	1.3745e-06	0.000669	22	5	1.0	1.0	1.0	17992	0
POLE	5	7.9872e-08	1.3745e-06	0.000669	23	5	1.0	1.0	1.0	17991	0
NELFCD	5	8.7928e-08	1.3745e-06	0.000669	24	5	1.0	1.0	1.0	17990	0
WDR74	5	8.8304e-08	1.3745e-06	0.000669	25	5	1.0	1.0	1.0	17989	0
RPS19	5	9.4685e-08	1.3745e-06	0.000669	26	5	1.0	1.0	1.0	17988	0
GMPPB	5	9.8455e-08	1.3745e-06	0.000669	27	5	1.0	1.0	1.0	17987	0
TBL3	5	9.9148e-08	1.3745e-06	0.000669	28	5	1.0	1.0	1.0	17969	0
ALG2	5	1.1117e-07	1.3745e-06	0.000669	29	5	1.0	1.0	1.0	17986	0
MARS	5	1.1503e-07	1.3745e-06	0.000669	30	5	0.99956	0.99956	1.0	17272	0
NAT10	5	1.1537e-07	1.3745e-06	0.000669	31	5	1.0	1.0	1.0	17985	0
SNUPN	5	1.1623e-07	1.3745e-06	0.000669	32	5	1.0	1.0	1.0	17984	0
ADAT3	5	1.348e-07	1.3745e-06	0.000669	33	5	1.0	1.0	1.0	17983	0
PUF60	5	1.3899e-07	1.3745e-06	0.000669	34	5	1.0	1.0	1.0	17982	0
FNTB	5	1.4588e-07	1.3745e-06	0.000669	35	5	1.0	1.0	1.0	17981	0
DNM2	5	1.4728e-07	1.3745e-06	0.000669	36	5	0.99996	0.99996	1.0	17665	0
POLD1	5	1.489e-07	1.3745e-06	0.000669	37	5	1.0	1.0	1.0	17980	0
PTPMT1	5	1.6108e-07	1.6493e-06	0.000693	38	5	1.0	1.0	1.0	17979	0
ECSIT	12	1.6821e-07	1.9242e-06	0.000693	39	11	0.9978	0.99776	1.0	16862	0
PWP2	5	1.713e-07	1.9242e-06	0.000693	40	5	0.99999	0.99999	1.0	17852	0
PFDN5	8	1.7863e-07	1.9242e-06	0.000693	41	8	1.0	1.0	1.0	17967	0
CTU2	5	1.8006e-07	1.9242e-06	0.000693	42	5	1.0	1.0	1.0	17978	0
RUVBL2	5	2.0666e-07	1.9242e-06	0.000693	43	5	1.0	1.0	1.0	17977	0
SNRPD3	5	2.2077e-07	1.9242e-06	0.000693	44	5	1.0	1.0	1.0	17976	0
ARHGAP1	5	2.3317e-07	1.9242e-06	0.000693	45	5	1.0	1.0	1.0	17975	0
MCM3	5	2.3917e-07	1.9242e-06	0.000693	46	4	0.76376	0.797	1.0	12989	1
EIF4A3	5	2.413e-07	1.9242e-06	0.000693	47	5	1.0	1.0	1.0	17940	0
RPL18	5	2.457e-07	1.9242e-06	0.000693	48	5	1.0	1.0	1.0	17973	0
SDHC	9	2.4953e-07	1.9242e-06	0.000693	49	9	1.0	1.0	1.0	17972	0
PSMG4	6	2.597e-07	1.9242e-06	0.000693	50	6	1.0	1.0	1.0	17971	0
LSM11	5	2.6761e-07	2.474e-06	0.000874	51	5	1.0	1.0	1.0	17970	0
PPAN	5	2.8302e-07	3.0238e-06	0.001027	52	5	1.0	1.0	1.0	17968	0
ATP6V0C	5	3.0516e-07	3.0238e-06	0.001027	53	5	1.0	1.0	1.0	17966	0
HSD17B10	5	3.8205e-07	3.5736e-06	0.001129	54	5	1.0	1.0	1.0	17965	0
MTG2	5	4.1166e-07	3.5736e-06	0.001129	55	5	1.0	1.0	1.0	17964	0
PSMA7	5	4.1727e-07	3.5736e-06	0.001129	56	5	1.0	1.0	1.0	17963	0
IKBKAP	5	4.2647e-07	3.5736e-06	0.001129	57	5	1.0	1.0	1.0	17962	0
TINF2	5	4.9999e-07	4.1234e-06	0.001179	58	5	1.0	1.0	1.0	17961	0
C10orf2	5	5.1215e-07	4.1234e-06	0.001179	59	5	1.0	1.0	1.0	17960	0
OIP5	5	5.1219e-07	4.1234e-06	0.001179	60	4	0.18949	0.35698	0.995574	6451	1
YRDC	5	5.4251e-07	4.1234e-06	0.001179	61	5	1.0	1.0	1.0	17959	0
SRSF1	5	5.487e-07	4.1234e-06	0.001179	62	5	1.0	1.0	1.0	17958	0
TBCD	5	5.5721e-07	4.1234e-06	0.001179	63	5	0.99999	0.99999	1.0	17804	0
GINS4	5	5.7682e-07	4.3982e-06	0.001238	64	5	1.0	1.0	1.0	17957	0
CCND1	5	5.819e-07	4.6731e-06	0.001254	65	5	1.0	1.0	1.0	17956	0
SIN3A	5	5.8389e-07	4.6731e-06	0.001254	66	5	1.0	1.0	1.0	17955	0
CKAP5	5	5.9649e-07	5.2229e-06	0.001254	67	5	1.0	1.0	1.0	17954	0
WBSCR22	5	6.099e-07	5.2229e-06	0.001254	68	5	1.0	1.0	1.0	17953	0
TCEB2	5	6.1699e-07	5.2229e-06	0.001254	69	5	1.0	1.0	1.0	17952	0
POLR2L	4	6.1817e-07	5.2229e-06	0.001254	70	4	1.0	1.0	1.0	17951	0
EIF3B	5	6.2715e-07	5.2229e-06	0.001254	71	5	1.0	1.0	1.0	17950	0
MCM2	5	6.358e-07	5.2229e-06	0.001254	72	5	0.99999	0.99999	1.0	17820	0
PSMC4	5	6.4849e-07	5.2229e-06	0.001254	73	5	1.0	1.0	1.0	17949	0
VARS	5	6.6094e-07	5.2229e-06	0.001254	74	5	1.0	1.0	1.0	17948	0
AP2S1	7	6.6656e-07	5.2229e-06	0.001254	75	7	1.0	1.0	1.0	17947	0
DHPS	5	6.9322e-07	5.7727e-06	0.001283	76	5	1.0	1.0	1.0	17946	0
PSMB4	5	6.9944e-07	5.7727e-06	0.001283	77	5	1.0	1.0	1.0	17945	0
VPS28	5	7.0075e-07	5.7727e-06	0.001283	78	5	1.0	1.0	1.0	17944	0
NELFB	5	7.2321e-07	5.7727e-06	0.001283	79	5	0.99997	0.99997	1.0	17712	0
RPAIN	7	7.4497e-07	5.7727e-06	0.001283	80	7	1.0	1.0	1.0	17943	0
INTS9	5	7.5738e-07	5.7727e-06	0.001283	81	5	1.0	1.0	1.0	17942	0
HYPK	5	7.7646e-07	6.3225e-06	0.001389	82	5	1.0	1.0	1.0	17941	0
ILF3	5	7.9266e-07	6.8723e-06	0.001491	83	5	0.99876	0.99875	1.0	17025	0
