id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
PSMB5	10	1.7552e-15	2.7489e-07	0.000141	1	10	1.0	1.0	1.0	18009	0
PUF60	5	2.728e-13	2.7489e-07	0.000141	2	5	1.0	1.0	1.0	18008	0
SNRPD3	5	1.1522e-12	2.7489e-07	0.000141	3	5	1.0	1.0	1.0	18007	0
EIF4A3	5	3.1928e-12	2.7489e-07	0.000141	4	5	1.0	1.0	1.0	18006	0
ATP6V0C	5	8.1576e-12	2.7489e-07	0.000141	5	5	1.0	1.0	1.0	18005	0
NHP2L1	5	1.882e-11	2.7489e-07	0.000141	6	5	1.0	1.0	1.0	18004	0
POLR2A	5	2.0008e-11	2.7489e-07	0.000141	7	5	1.0	1.0	1.0	18003	0
POLR2F	5	4.1968e-11	2.7489e-07	0.000141	8	5	1.0	1.0	1.0	18002	0
SF3B3	5	8.8148e-11	2.7489e-07	0.000141	9	5	1.0	1.0	1.0	18001	0
CDC27	5	3.5623e-10	2.7489e-07	0.000141	10	5	1.0	1.0	1.0	18000	0
AURKB	5	3.8938e-10	2.7489e-07	0.000141	11	5	1.0	1.0	1.0	17999	0
NAA50	5	4.8803e-10	2.7489e-07	0.000141	12	5	1.0	1.0	1.0	17998	0
RPL13	5	5.4755e-10	2.7489e-07	0.000141	13	5	1.0	1.0	1.0	17997	0
SF3B5	5	5.5402e-10	2.7489e-07	0.000141	14	5	1.0	1.0	1.0	17996	0
XAB2	5	6.4391e-10	2.7489e-07	0.000141	15	5	1.0	1.0	1.0	17995	0
VPS28	5	8.2662e-10	2.7489e-07	0.000141	16	5	0.99986	0.99987	1.0	17806	0
PPP2CA	5	8.3732e-10	2.7489e-07	0.000141	17	5	1.0	1.0	1.0	17994	0
HAUS1	5	8.5865e-10	2.7489e-07	0.000141	18	5	1.0	1.0	1.0	17993	0
PRPF19	5	9.2183e-10	2.7489e-07	0.000141	19	4	0.94789	0.94806	1.0	16357	0
FAU	5	9.5507e-10	2.7489e-07	0.000141	20	5	1.0	1.0	1.0	17992	0
UBA52	5	9.618e-10	2.7489e-07	0.000141	21	5	1.0	1.0	1.0	17991	0
CDT1	5	1.0347e-09	2.7489e-07	0.000141	22	5	1.0	1.0	1.0	17990	0
SPC24	5	1.1158e-09	2.7489e-07	0.000141	23	5	1.0	1.0	1.0	17989	0
SF3B14	5	1.1621e-09	2.7489e-07	0.000141	24	5	1.0	1.0	1.0	17988	0
PSMC4	5	1.2888e-09	2.7489e-07	0.000141	25	5	1.0	1.0	1.0	17987	0
MYC	5	1.306e-09	2.7489e-07	0.000141	26	5	1.0	1.0	1.0	17986	0
RPL36	5	1.5706e-09	2.7489e-07	0.000141	27	5	1.0	1.0	1.0	17985	0
PLK1	5	1.9288e-09	2.7489e-07	0.000141	28	5	1.0	1.0	1.0	17984	0
MAX	11	2.4999e-09	2.7489e-07	0.000141	29	10	0.98037	0.98028	1.0	17068	1
ATP6V0D1	5	2.5196e-09	2.7489e-07	0.000141	30	5	1.0	1.0	1.0	17983	0
DTL	5	3.1942e-09	2.7489e-07	0.000141	31	5	1.0	1.0	1.0	17980	0
PTPN23	5	3.2026e-09	2.7489e-07	0.000141	32	5	1.0	1.0	1.0	17982	0
ESPL1	5	3.8905e-09	2.7489e-07	0.000141	33	5	1.0	1.0	1.0	17981	0
SRSF7	5	4.4342e-09	2.7489e-07	0.000141	34	5	1.0	1.0	1.0	17979	0
EIF3A	5	5.1392e-09	2.7489e-07	0.000141	35	5	1.0	1.0	1.0	17978	0
SMU1	5	7.8799e-09	5.4978e-07	0.000261	36	5	1.0	1.0	1.0	17977	0
