id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
PPP1R8	15	2.6867e-10	2.7489e-07	0.00099	1	14	0.99997	0.99997	1.0	17868	0
NIP7	5	1.0491e-09	2.7489e-07	0.00099	2	5	0.99992	0.99992	1.0	17808	0
CRCP	14	1.5068e-09	2.7489e-07	0.00099	3	12	0.99978	0.99976	1.0	17675	0
SF3B5	5	2.6462e-09	2.7489e-07	0.00099	4	5	1.0	1.0	1.0	18001	0
SNRPD1	5	6.579e-09	2.7489e-07	0.00099	5	5	1.0	1.0	1.0	18009	0
CCND3	15	7.447e-09	5.4978e-07	0.001485	6	12	0.9338	0.93432	1.0	15358	1
SDHC	9	1.251e-08	8.2467e-07	0.001485	7	8	0.99966	0.99966	1.0	17618	0
LSM4	6	2.0284e-08	8.2467e-07	0.001485	8	6	0.99988	0.99988	1.0	17761	0
EEF2	5	2.1355e-08	8.2467e-07	0.001485	9	5	1.0	1.0	1.0	17999	0
RPL13	5	2.4941e-08	8.2467e-07	0.001485	10	5	1.0	1.0	1.0	18008	0
RUVBL2	5	3.5892e-08	1.3745e-06	0.002122	11	5	0.99999	0.99999	1.0	17927	0
MCM2	5	6.6722e-08	1.9242e-06	0.002122	12	5	1.0	1.0	1.0	18007	0
LRR1	5	8.5093e-08	1.9242e-06	0.002122	13	5	1.0	1.0	1.0	18006	0
CDC27	5	9.3171e-08	1.9242e-06	0.002122	14	5	1.0	1.0	1.0	18005	0
NAA50	5	1.0495e-07	1.9242e-06	0.002122	15	5	0.99999	0.99999	1.0	17919	0
TCEB2	5	1.1102e-07	2.474e-06	0.002122	16	5	1.0	1.0	1.0	18004	0
ARFRP1	12	1.2418e-07	2.474e-06	0.002122	17	11	1.0	1.0	1.0	17953	0
SEC13	5	1.3098e-07	2.474e-06	0.002122	18	5	1.0	1.0	1.0	18003	0
EIF4A3	5	1.4016e-07	2.474e-06	0.002122	19	5	1.0	1.0	1.0	18002	0
MCM7	5	2.2884e-07	3.0238e-06	0.002122	20	5	1.0	1.0	1.0	18000	0
UTP20	5	2.5405e-07	3.0238e-06	0.002122	21	5	1.0	1.0	1.0	17998	0
RPL27A	5	2.6399e-07	3.2987e-06	0.002122	22	5	0.99999	0.99999	1.0	17924	0
UBE2M	5	2.9237e-07	3.5736e-06	0.002122	23	5	1.0	1.0	1.0	17997	0
SNRNP25	5	3.0364e-07	3.5736e-06	0.002122	24	5	0.99999	0.99999	1.0	17926	0
IKBKAP	5	3.4068e-07	3.5736e-06	0.002122	25	5	1.0	1.0	1.0	17996	0
RPS9	5	3.5111e-07	3.5736e-06	0.002122	26	4	0.94397	0.9443	1.0	15565	0
