id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
MRPS21	5	1.43e-08	8.2467e-07	0.001303	1	5	1.0	1.0	1.0	18009	0
TXNL4A	5	5.4205e-08	8.2467e-07	0.001303	2	4	0.9875	0.98753	1.0	16941	0
MCM6	5	5.6935e-08	8.2467e-07	0.001303	3	5	1.0	1.0	1.0	18008	0
PRPF31	5	9.4486e-08	8.2467e-07	0.001303	4	5	1.0	1.0	1.0	18007	0
NDUFC2	5	1.0585e-07	8.2467e-07	0.001303	5	5	1.0	1.0	1.0	18006	0
WDR77	5	1.0997e-07	8.2467e-07	0.001303	6	5	1.0	1.0	1.0	18005	0
MDH2	5	1.4947e-07	1.3745e-06	0.001303	7	5	1.0	1.0	1.0	18004	0
RPL37A	4	1.5328e-07	1.3745e-06	0.001303	8	3	0.97238	0.97256	1.0	16492	0
UBE2J2	5	1.5584e-07	1.3745e-06	0.001303	9	5	0.99999	0.99999	1.0	17959	0
CSTF3	8	1.5628e-07	1.3745e-06	0.001303	10	8	0.99998	0.99998	1.0	17947	0
HIST1H2AM	5	1.8761e-07	1.3745e-06	0.001303	11	5	1.0	1.0	1.0	18003	0
SLC7A5	5	2.1547e-07	1.3745e-06	0.001303	12	5	1.0	1.0	1.0	18002	0
RBM14	5	2.6353e-07	1.3745e-06	0.001303	13	5	1.0	1.0	1.0	18001	0
CENPM	10	2.6531e-07	1.3745e-06	0.001303	14	9	0.99994	0.99994	1.0	17913	0
WDR74	5	2.6803e-07	1.3745e-06	0.001303	15	5	0.9998	0.99981	1.0	17837	0
HYPK	5	2.736e-07	1.3745e-06	0.001303	16	5	1.0	1.0	1.0	18000	0
LSM4	6	3.0339e-07	1.3745e-06	0.001303	17	6	0.99945	0.99945	1.0	17733	0
RPS8	5	3.1031e-07	1.3745e-06	0.001303	18	5	0.99981	0.99982	1.0	17839	0
RPS19	5	3.3078e-07	1.3745e-06	0.001303	19	4	0.91967	0.92067	1.0	15414	0
MED27	8	4.7038e-07	1.9242e-06	0.001575	20	8	1.0	1.0	1.0	17999	0
GRWD1	5	5.3486e-07	1.9242e-06	0.001575	21	5	1.0	1.0	1.0	17983	0
ALG2	5	5.5331e-07	1.9242e-06	0.001575	22	5	1.0	1.0	1.0	17998	0
PRMT1	5	7.8614e-07	3.0238e-06	0.002368	23	5	1.0	1.0	1.0	17997	0
EIF4A3	5	9.0244e-07	4.1234e-06	0.00297	24	4	0.99727	0.99726	1.0	17461	0
VCP	5	9.4289e-07	4.1234e-06	0.00297	25	5	1.0	1.0	1.0	17995	0
ALYREF	5	1.0257e-06	4.6731e-06	0.003237	26	5	1.0	1.0	1.0	17994	0
NPLOC4	5	1.6166e-06	6.8723e-06	0.004385	27	5	0.99994	0.99994	1.0	17916	0
SF1	5	1.6424e-06	6.8723e-06	0.004385	28	5	1.0	1.0	1.0	17993	0
ARFRP1	12	1.8296e-06	7.422e-06	0.004385	29	11	0.99988	0.99988	1.0	17870	0
NDUFA13	5	1.9743e-06	7.9718e-06	0.004385	30	5	1.0	1.0	1.0	17992	0
