id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos	-log10(P neg)	log10(fpkm)	
KIAA0408	5	0.19633	0.36697	1	5097	2	0.27768	0.46743	1	8279	1	0.435369438	-3.7	
POTEJ	4	0.0025199	0.010634	0.133916	1430	3	0.44001	0.5991	1	10152	1	1.973303344	-3.7	
TRIM6-TRIM34	3	0.82313	0.83485	1	13126	0	0.10019	0.22805	0.900451	4558	2	0.078391548	-3.7	
C4B	3	0.98109	0.98105	1	17207	0	0.0022968	0.009744	0.550113	316	3	0.008308858	-3.7	
PYURF	5	0.0016114	0.0070045	0.098358	1282	4	0.96965	0.96992	1	16074	0	2.15462286	-3.7	
HIST1H4J	3	0.00046781	0.0021422	0.040898	943	3	0.99937	0.99938	1	17332	0	2.669139985	-3.7	
TRIM73	3	0.002656	0.011152	0.138317	1452	3	0.96136	0.96177	1	15889	0	1.952647239	-3.7	
A3GALT2	5	0.25207	0.43377	1	5851	2	0.35798	0.53227	1	9207	2	0.362740488	-3.7	
A4GALT	5	0.074978	0.18262	0.987043	3332	3	0.61616	0.73825	1	12173	1	0.738451662	-3.7	
AADAC	5	0.98016	0.98011	1	17172	0	0.49736	0.64647	1	10833	2	0.00872518	-3.7	
AADACL2	5	0.95664	0.9569	1	16417	0	0.90677	0.90827	1	14854	0	0.019133445	-3.7	
AADACL4	5	0.84333	0.85009	1	13483	1	0.070881	0.18161	0.854599	3827	3	0.070535093	-3.7	
ABCA4	5	0.01449	0.048047	0.410281	2109	4	0.61008	0.73594	1	12136	1	1.318333724	-3.7	
ABCA8	5	0.96234	0.96263	1	16587	0	0.34938	0.52531	1	9102	2	0.016540608	-3.7	
ABCB1	5	0.6406	0.73416	1	10769	1	0.23065	0.41522	0.994071	7520	3	0.134209281	-3.7	
ABCB11	5	0.32289	0.49324	1	6533	2	0.49823	0.64719	1	10841	1	0.306941711	-3.7	
ABCC12	5	0.10168	0.22582	1	3671	2	0.055447	0.15186	0.829171	3297	2	0.646237597	-3.7	
ABCC8	5	0.73045	0.7777	1	11732	1	0.12394	0.26445	0.92469	5147	3	0.109187901	-3.7	
ABCG2	5	0.86105	0.8647	1	13866	1	0.027135	0.082625	0.762222	1948	4	0.063134541	-3.7	
ABCG8	5	0.9987	0.9987	1	17926	0	0.0012964	0.005691	0.480402	212	5	0.00056495	-3.7	
ABLIM2	5	0.13084	0.27113	1	4089	2	0.30083	0.48636	1	8561	2	0.566822426	-3.7	
ACADL	5	0.58985	0.71288	1	10340	1	0.055105	0.15101	0.827442	3285	3	0.146983569	-3.7	
ACAN	5	0.91078	0.91216	1	15125	0	0.55114	0.69131	1	11498	2	0.039928976	-3.7	
ACE2	5	0.85693	0.86117	1	13787	1	0.0045392	0.018553	0.595396	558	3	0.064911108	-3.7	
ACER1	5	0.16697	0.32454	1	4620	3	0.98856	0.98867	1	16630	0	0.488731768	-3.7	
ACHE	5	0.96988	0.97003	1	16818	0	0.14849	0.30072	0.94482	5732	3	0.013214834	-3.7	
ACKR3	5	0.9276	0.92836	1	15571	0	0.21907	0.39967	0.990428	7267	3	0.03228358	-3.7	
ACP6	5	0.88649	0.8884	1	14474	0	0.017104	0.056087	0.710959	1419	4	0.05139145	-3.7	
ACSM1	5	0.78166	0.80718	1	12412	1	0.12625	0.26793	0.926847	5201	2	0.093029607	-3.7	
ACSM2A	5	0.26415	0.44397	1	5947	1	0.053317	0.1469	0.825534	3203	3	0.352646375	-3.7	
ACSM2B	4	0.15984	0.31411	1	4488	2	0.14913	0.30167	0.945002	5747	2	0.502918237	-3.7	
ACSM5	5	0.0055312	0.022072	0.226619	1754	4	0.73243	0.7885	1	12925	1	1.656158313	-3.7	
ACTBL2	5	0.086437	0.2013	1	3480	3	0.08043	0.19701	0.870052	4075	1	0.696156225	-3.7	
ACTC1	5	0.33229	0.50115	1	6640	1	0.30247	0.48772	1	8579	2	0.300032265	-3.7	
ACTL6B	5	0.9762	0.9762	1	17033	0	0.25512	0.44773	1	8002	3	0.010461197	-3.7	
ACTL7A	5	0.56057	0.69738	1	10017	2	0.25744	0.45081	1	8057	2	0.156530512	-3.7	
ACTL7B	5	0.91509	0.91631	1	15245	0	0.77621	0.81151	1	13277	1	0.037957574	-3.7	
ACTL9	5	0.6389	0.73337	1	10752	1	0.66759	0.75889	1	12485	1	0.13467686	-3.7	
ACTRT1	5	0.96359	0.96385	1	16628	0	0.17866	0.34387	0.967915	6398	3	0.015990548	-3.7	
