id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos
CCND3	15	9.7938e-11	2.7489e-07	0.000495	1	13	0.38771	0.55681	1.0	9638	1
NDUFA2	6	1.4183e-10	2.7489e-07	0.000495	2	6	1.0	1.0	1.0	18009	0
GPX4	5	1.9703e-09	2.7489e-07	0.000495	3	5	1.0	1.0	1.0	18008	0
ECSIT	12	2.1554e-09	2.7489e-07	0.000495	4	11	0.99999	1.0	1.0	17903	0
RPL13	5	2.7198e-09	2.7489e-07	0.000495	5	5	1.0	1.0	1.0	17965	0
MARS2	5	3.2381e-09	2.7489e-07	0.000495	6	5	1.0	1.0	1.0	18007	0
TPI1	9	6.1015e-09	2.7489e-07	0.000495	7	8	0.99298	0.99297	1.0	16965	0
YRDC	5	7.4716e-09	2.7489e-07	0.000495	8	5	1.0	1.0	1.0	18006	0
IRF2BP2	5	8.77e-09	2.7489e-07	0.000495	9	5	1.0	1.0	1.0	18005	0
ATP6V0C	5	1.2265e-08	2.7489e-07	0.000495	10	5	1.0	1.0	1.0	18004	0
HIST1H2AJ	3	2.0507e-08	5.4978e-07	0.0009	11	3	0.99996	0.99997	1.0	17791	0
SF3B5	5	2.3274e-08	8.2467e-07	0.001061	12	5	1.0	1.0	1.0	17997	0
UBE2M	5	2.5819e-08	8.2467e-07	0.001061	13	5	1.0	1.0	1.0	18003	0
MEPCE	10	2.6666e-08	8.2467e-07	0.001061	14	9	0.99034	0.99034	1.0	16866	0
ROMO1	5	3.8894e-08	1.0996e-06	0.001134	15	4	0.95803	0.95817	1.0	15993	0
NHP2L1	5	5.5451e-08	1.3745e-06	0.001134	16	5	1.0	1.0	1.0	18002	0
ARFRP1	12	5.8547e-08	1.3745e-06	0.001134	17	12	1.0	1.0	1.0	17953	0
MYC	5	8.0335e-08	1.9242e-06	0.001134	18	5	1.0	1.0	1.0	18001	0
NELFCD	5	9.2388e-08	1.9242e-06	0.001134	19	5	1.0	1.0	1.0	18000	0
ERCC2	5	1.0341e-07	1.9242e-06	0.001134	20	5	1.0	1.0	1.0	17999	0
TBL3	5	1.0412e-07	1.9242e-06	0.001134	21	5	1.0	1.0	1.0	17998	0
RPS9	5	1.1526e-07	2.1991e-06	0.001134	22	4	0.55707	0.69644	1.0	11631	1
PPP2CA	5	1.2359e-07	2.474e-06	0.001134	23	5	1.0	1.0	1.0	17996	0
STK11	5	1.5333e-07	2.474e-06	0.001134	24	5	1.0	1.0	1.0	17995	0
RPS19	5	1.6047e-07	2.474e-06	0.001134	25	5	1.0	1.0	1.0	17994	0
GNB1L	5	1.6394e-07	2.474e-06	0.001134	26	5	1.0	1.0	1.0	17993	0
SCO2	5	1.6531e-07	2.474e-06	0.001134	27	5	0.99773	0.99771	1.0	17264	0
