Symbol	MOLM-13	MV4-11	HL-60	OCI-AML2	OCI-AML3	HT1080_ENCODE	HT29_GSE41586
A1BG	1.127607648	3.211821861	0.547518119	1.185132965	2.181743932	2.72918893	0.488177475
A1BG-AS1	1.201148432	2.186142851	0.757958018	1.276987745	1.955873046	2.437933346	0.403362894
A1CF	0.033133372	0.021903373	0.028457575	0.03466169	0.034678094	0.083801889	0.179159598
A2M	0.1775475	0.062468536	0	0.051538393	0.025480864	0.018061532	0.006347478
A2M-AS1	0.036544291	0	0.010368618	0.010250069	0.024338504	0.132200905	0
A2ML1	0	0.012729445	0.011623834	0.006117047	0.013908533	0.004715344	0.115074923
A2MP1	0.023106897	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0.138179861
A4GALT	1.126697154	0.198006189	0.080294779	0	0.290353455	3.533072397	5.250081389
A4GNT	0.014833699	0.042009382	0	0.012928479	0.067712277	0	0
AA06	0	0	0	0	0	0	0
AAAS	42.50957343	34.61216781	52.33960298	60.05702426	31.19823226	58.76884338	9.028216076
AACS	11.94932181	19.37574679	6.366522945	4.855651659	20.25310843	6.849925606	11.23575038
AACSP1	0.026202845	0.153006389	0.020861908	1.29821655	0.051488321	0.543048818	0.329575593
AADAC	0	0	0	0	0	0	4.818866377
AADACL2	0	0	0	0	0	0	0.342307788
AADACL2-AS1	0.286476195	0.160670236	0.056534724	0.420322211	0.227848881	7.958234501	2.044223518
AADACL3	0.012929235	0.042436336	0.020788579	0.017116758	0.013378515	0.056487768	0.08102744
AADACL4	0	0	0	0	0	0	0.013178142
AADACP1	0	0.058858165	0	0	0.06377833	0	2.183725848
AADAT	0.039474244	0.822069731	0.023969162	0.021909551	0.517492574	5.20401505	0.432869309
AAED1	6.386842571	17.39152054	6.782593984	7.586021082	21.87422979	17.15311835	1.97816333
AAGAB	15.73390685	15.8561728	14.06306675	15.55340668	14.05598585	18.03129574	20.80965506
AAK1	2.404064026	3.313318858	1.898993837	2.904094926	3.204744192	2.931041306	4.056881016
AAMDC	14.83009637	9.712649929	5.712431724	5.265747894	7.6148254	3.31793661	9.871955701
AAMP	65.963134	67.23451907	78.72214629	65.16668935	60.20127229	88.67978294	36.30115782
AANAT	0.101544627	0.16357377	0.073698451	0.060434528	0.086357472	0.133104677	0.377185458
AAR2	21.26297964	24.12240367	21.86779088	21.83418762	22.30877255	22.98856903	9.592850881
AARD	0.175198396	0.238594347	0.154333197	0.363693217	0.078513597	1.373686642	0.378725602
AARS	77.76204772	91.44057238	70.73719733	43.30589635	91.74747311	43.5484602	98.84078676
AARS2	15.28363982	12.07077935	12.83060241	15.91358011	12.44696755	9.81733053	3.986014014
AARSD1	25.89984039	22.12501755	27.12354673	20.38194818	21.48935932	12.23107664	13.65747309
AASDH	5.152209805	6.231704716	5.467048658	5.166031906	7.975073662	4.843289987	2.302406924
AASDHPPT	27.20602177	30.22947299	35.90391556	26.01414656	30.13799671	31.09926758	17.91109165
AASS	0.02716624	0.024311207	0.016511554	0.037779247	0.012489602	3.324942556	0.244126756
AATBC	0.472900787	0.153571812	0.280994319	0.197904735	0.2992552	0.04599361	0.24564541
AATF	51.71603148	49.55462629	40.07155869	56.70202539	52.22440753	43.73409655	33.29549776
AATK	0.026028625	0.004343184	0.207939439	0.017188765	0.15414929	0.042770524	9.910554005
AATK-AS1	0	0	0.018106981	0.01472256	0	0	0.335029086
ABALON	0.604600006	0.586524087	0.366771394	1.177346223	0.720365767	3.672807616	7.779552422
ABAT	0.179282144	0.652886413	1.265041146	1.284892633	0.478518947	0.00500902	0.097163183
ABCA1	0.327651121	0.926812521	0.390055067	0.566003152	1.048654252	3.495092111	1.753155718
ABCA10	0.040371092	0.178973857	0.050638619	0.006852312	0.159546699	0.041582097	0.644163403
ABCA11P	0.148092225	2.876849519	3.082235952	0.038644521	2.097384418	3.631765069	3.917613466
ABCA12	0.015872924	0.002685282	0.006393928	0.007995531	0.002768657	0.006949596	0.005310454
ABCA13	0.027918876	0.041788307	0.062430464	0.048282945	0.038388708	0.307816396	0.093479129
ABCA17P	0.005890558	0.103853876	0.015580083	0.005133983	0.028747553	0.020552229	0.047628878
ABCA2	13.34639944	25.84431316	7.684462043	11.4272057	24.15906455	3.051862822	13.70087877
ABCA3	0.023955221	2.320099588	0.060504366	0.026158071	1.580076114	0.06478953	0.27101709
ABCA4	0	0	0	0	0	0.01964019	0.058570192
ABCA5	1.011349095	2.88071619	0.558750942	1.294661528	2.882305015	0.20471591	0.889845312
ABCA6	0.132038221	0.185019065	0	0.024439131	0.294820226	0	0.016944598
ABCA7	6.316333333	6.919812056	1.662128472	4.463781636	4.786460123	0.466154769	10.21327421
ABCA8	0.009027125	0.003852882	0.003569378	0	0.012370637	0.018826253	0.063447596
ABCA9	0.068824691	0.149126647	0.045880464	0.084923929	0.121009994	0.304298198	0.571353046
ABCA9-AS1	0	0	0	0	0	0.04621543	0.163185295
ABCB1	0	0	0	0	0	0.012905004	0.07530801
ABCB10	50.71070896	44.34410894	76.15201112	173.221366	42.77636854	14.87700757	2.617855454
ABCB11	0.027897521	0.094542973	0	0	0.062707363	0.005516093	0.016802738
ABCB4	0.132173384	1.814663779	0.337318962	0.327043059	2.274506444	0.131116565	0.223168682
ABCB5	0.585743537	0.227269449	0.404354134	0.545543532	0.29357931	0.305125457	0.785219192
ABCB6	0.774043295	2.120631192	0.203701084	0.133381633	2.397498218	10.74915003	9.402885394
ABCB7	19.63288668	11.00437668	16.25659097	18.02855876	13.64386832	7.398244773	4.41424922
ABCB8	7.035419987	8.696177736	5.200479902	7.232901755	7.188808282	7.651702936	6.537632835
ABCB9	0.606417867	1.948429721	0.369863725	1.570569921	1.428099789	9.768330414	1.353353025
ABCC1	6.557392867	8.155243196	17.89705492	11.89928039	9.565358197	6.755065198	11.09822556
ABCC10	7.010658275	3.72198361	5.504226601	3.329027246	3.202041905	3.621309612	5.269770854
ABCC11	0.018316909	0.015253926	0.025354727	0.004805543	0.011410627	0.011838415	0.057537754
ABCC12	0	0	0	0	0	0.045372598	0.002036604
ABCC13	0.065232499	0.057404945	0.038438069	0.040177305	0.027042803	0.170614235	0.130545202
ABCC2	0.308433904	0.259679488	0.157121833	1.010513842	0.163811642	0.328446596	0.135673894
ABCC3	0	0	0.171584931	0.004113137	0.042620125	2.340074165	215.5537901
ABCC4	9.550577825	8.033452007	8.385021731	8.435475765	9.501194818	9.836213776	6.706663291
ABCC5	6.404056034	8.255129957	10.15577049	16.75203839	5.933541022	7.769808385	1.953117141
ABCC5-AS1	0	0	0	0.073666342	0	0.061884124	0.187238276
ABCC6	4.610644657	2.369159654	0.132340455	3.255836666	2.485461371	0.024133115	0.385018227
ABCC6P1	0.081636491	0	0	0.133550505	0.085640874	0.02082575	0.077474706
ABCC6P2	0	0	0	0.173965263	0	0.041705	0.219404646
ABCC8	0	0	0.00437684	0	0	0.001220162	0.047794675
ABCC9	1.203992989	1.655602714	0.702568743	1.37500262	1.332463961	2.286709409	8.069082889
ABCD1	8.022913922	18.04084787	13.27244313	16.27921599	13.26723662	0.912490275	7.410572464
ABCD2	0.125330094	0.979713842	0.072919412	0.077422073	0.711123272	0.028433534	0
ABCD3	13.60165141	15.25128787	19.93626116	15.86396291	23.46230508	23.90780413	17.37239916
ABCD4	8.870442522	9.089763111	3.856433787	6.78232846	8.164463975	6.642765059	4.771875829
ABCE1	65.2377353	62.57883436	74.18567198	54.45637633	71.11503533	70.14543562	20.14948133
ABCF1	53.88275706	55.03548329	39.39920502	61.04632669	52.45282794	34.86083181	23.95437771
ABCF2	41.80698601	79.59766716	52.07726772	44.98958624	90.48599986	51.3441692	20.34762488
ABCF3	19.07645113	22.37064643	18.41246712	22.29681831	22.57096031	18.69285045	10.68312513
ABCG1	0.071941725	0.09668079	0.042494054	0.935188231	0.125453296	0.079928064	16.56189497
ABCG2	0	0.005171993	0.010129012	0	0.011888036	1.249152155	2.437555346
ABCG4	0	0.012696773	0	0.030548861	0.01552837	0.003344398	0
ABCG5	0.010211027	0	0	0.024720272	0.008560027	0	0.003967442
ABCG8	0	0	0	0	0	0	0.004064248
ABHD1	0.097276947	0.136441176	0.194650853	0.194792777	0.243926105	0.151968094	0.190738545
ABHD10	15.37735239	15.07986897	22.74482443	16.81674953	18.6058748	22.94234099	5.433142039
ABHD11	9.32258384	11.37994673	8.291108985	13.18435123	12.30493194	23.65329326	18.64143388
ABHD11-AS1	0.249595023	0.377379034	0	0.145328157	0.09166492	0.043115587	5.387475718
ABHD12	39.23304181	22.00743254	28.48700648	25.21516129	21.32050526	25.49480831	46.46249723
ABHD12B	0.873398718	0.899149605	0.705188605	1.16636295	1.272406655	0.904048532	0.874896639
ABHD13	7.242420408	4.650438255	8.490592612	5.459012167	4.994451769	3.384842238	3.018615079
ABHD14A	17.81136926	11.87873796	12.54676405	12.8373336	12.96882054	13.92405441	3.084671417
ABHD14A-ACY1	7.572688327	6.188188613	5.094571505	3.361904353	5.747235637	1.34615208	1.141690613
ABHD14B	27.21360323	16.16178393	14.1525915	22.99030183	23.68368718	32.65095116	15.8452597
ABHD15	9.098898051	8.972878197	6.373365391	23.76936871	8.747637953	3.928597454	8.895291792
ABHD16A	40.43654229	22.81866044	32.28108156	21.81404154	22.30193997	11.11275104	6.678871542
ABHD16B	2.194538655	3.036990227	1.6315027	2.886227287	3.117399467	4.837636412	4.059251724
ABHD17A	96.37615871	75.11215376	62.09278071	57.08836484	66.8754069	139.0244364	4.825926659
ABHD17B	12.00262331	19.501747	13.04499592	11.90670111	17.32894132	14.08493037	4.103811683
ABHD17C	4.791869941	8.071421741	3.015923334	17.78152704	12.87483199	3.342853724	10.38491696
ABHD2	7.217458058	6.49648077	6.871988148	7.913391193	6.006749019	21.85978317	48.88873092
ABHD3	24.63414937	11.2827068	9.55292662	12.51385116	11.97213348	1.738599197	5.440787413
ABHD4	4.490001945	1.758921618	1.820419445	1.685291797	0.739219149	3.246554331	7.203609084
ABHD5	2.519894129	3.130537575	3.436241507	2.230545186	3.475660405	6.506409657	1.551047576
ABHD6	0.763432356	2.660399269	0.574197881	2.076311199	3.298197757	7.090274372	1.293479622
ABHD8	1.842162628	0.898431617	1.502028856	2.254166276	1.04945212	1.55917662	1.432328243
ABI1	20.25383821	22.04182522	22.18936856	19.00006362	22.23750625	20.49291398	10.30520733
ABI2	3.480652936	5.563591433	2.886520953	7.171095347	6.241760158	8.619568861	8.216189928
ABI3	0.013535426	0.033816081	0.592904032	6.690015683	0.235255922	6.209479698	0
ABI3BP	0.045608624	0.035258108	0.027287316	0.01946873	0.011341777	0.22868019	0.042073332
ABL1	14.71820695	18.43522073	11.53783575	20.12386824	19.08642933	20.47684338	8.115102488
ABL2	1.352050018	2.972776827	1.57499795	3.540951393	2.958240237	16.14099848	2.947447159
ABLIM1	0.011005987	0.007459148	0.014506098	0.017490084	0.006573613	0.085299665	25.59154831
ABLIM2	0	0	0.008860189	0	0	0.023411303	0.144925519
ABLIM3	0	0	0	0.030664936	0.020345515	14.17676508	9.027200901
ABO	0	0	0	0	0.015647559	0	3.286180747
ABR	33.86623406	24.00384502	20.43887355	35.37139489	24.46424476	18.17439262	13.773591
ABRA	0.086592746	0.034920089	0.03677052	0.05044209	0.019218425	0.113967823	0.152840976
ABRACL	168.1108337	62.75484974	121.7696386	321.6566792	69.8358998	35.04761093	8.67113881
ABT1	31.06364406	22.76910746	25.9375126	28.75143454	21.10064637	19.87336928	5.177453632
ABTB1	5.679277315	3.803488736	6.311612081	12.54803054	2.817452208	3.574834657	8.125066025
ABTB2	3.406657936	0.318645741	1.081295126	0.556348336	0.263447762	2.260058853	8.382541104
ACAA1	27.05474849	30.89270674	33.6507616	22.86487231	27.23254318	5.665574312	13.99886736
ACAA2	37.61226255	34.0391727	25.77728863	36.26174318	41.59908051	20.02249556	12.87143329
ACACA	12.24999178	14.12830165	11.54123466	6.181928692	11.08359746	8.909059823	25.93940102
ACACB	0.287256862	0.437337439	0.544345693	2.234095387	0.603202559	0.459727366	0.447472714
ACAD10	8.493585421	5.935293962	7.57662261	6.429257179	6.345460651	3.932261655	4.004123764
ACAD11	2.236983076	1.707758227	1.365625725	1.33832376	1.507872399	5.53531937	2.600485727
ACAD8	12.16106736	20.24466804	10.40354524	7.962101855	26.83564662	9.385273116	9.886191884
ACAD9	28.19362917	25.38533984	31.55101157	25.72963943	26.24650143	25.70097055	9.840758212
ACADL	0	0	0.017451957	0	0	0.004865216	0.020485559
ACADM	56.30085657	56.45415268	45.54060161	37.82369213	69.16356798	15.16114264	4.797500382
ACADS	7.89517781	5.961747233	8.577842446	10.94447759	7.095022389	2.636957024	2.272103904
ACADSB	3.946988064	5.192857389	4.232297898	3.842823606	5.854521196	3.468497428	2.896295061
ACADVL	160.0639156	140.4567511	100.9208801	138.0859561	146.3593771	83.48263676	82.20322536
ACAN	0	0	0	0	0	0.192269643	0.001214804
ACAP1	19.77542436	0.372069861	18.30795276	34.26118372	1.71551265	0.532499755	0.529897193
ACAP2	9.412531193	15.52922253	13.32795986	18.71088917	16.71434311	19.42376017	6.749258548
ACAP3	13.74591563	18.13846261	14.13077346	6.673450882	15.93193412	11.80962882	11.86659323
ACAT1	52.16913364	52.24526218	66.67903222	71.87118419	71.57206541	58.89979389	4.251955224
ACAT2	128.8413532	51.37943716	57.84314497	36.36743845	37.09856908	66.60021822	5.769216281
ACBD3	10.83357267	18.23827813	13.17046194	25.40745013	21.59287888	12.71922664	14.98624748
ACBD4	1.837109299	3.424236924	1.916755677	1.569657849	3.499331515	2.021463498	6.249725741
ACBD5	7.917254438	11.19927217	6.858059098	7.230395637	9.568069721	9.022125645	5.666844195
ACBD6	21.57739772	20.4805825	32.71509366	24.3869303	20.08961924	32.54566851	10.88707492
ACBD7	0.839660628	1.328995842	0.631211443	1.153321083	1.251250462	1.669803364	2.722666177
ACCS	2.157229347	6.802892025	0.065710442	2.467403921	5.840023908	1.791803121	3.231783896
ACCSL	0	0	0	0.025560864	0	0	0.015686651
ACD	16.86959485	21.19395431	20.87642459	14.3934835	20.92460256	15.25820614	4.310175022
ACE	0.045150383	0.119283951	0.010569336	0.026107523	0.140741026	0	0.02369494
ACE2	0	0	0	0	0	0	0
ACER1	0	0.023390609	0	0	0	0	0
ACER2	0.873145141	1.05749999	0.078506746	0.946897126	1.131016067	1.4443009	2.249159144
ACER3	3.998995794	3.767152657	4.307815947	3.62942279	3.329573364	3.179549782	2.966800167
ACHE	0	0.117726328	0	0	0.083268004	0.103985902	0.103661972
ACIN1	90.73944155	111.4271552	88.5316753	98.22012988	105.9722021	35.57016706	24.20686795
ACKR1	0	0	0	0	0	0	0
ACKR2	0.343824914	0.240048163	0.214310255	0.933140408	0.267423387	0.441205554	1.011667046
ACKR3	0	0.466497187	0	0	0.597429569	0	0.019014663
ACKR4	0.050698258	0.097773009	0.155201905	0.187397275	0.074788444	0.118536448	2.171050977
ACLY	108.4218339	123.7584992	67.35102551	88.00913377	110.6590782	115.5543167	32.39919181
ACMSD	0	0	0	0.020731478	0	0	0.066147213
ACO1	10.65188406	13.44262267	4.372948389	7.332358652	12.76086779	32.4440198	8.60876145
ACO2	70.69658507	52.88454645	62.07475079	79.80715713	50.29358873	44.01376147	11.75910124
ACOT1	2.991316264	2.1739511	0.088881879	1.260518694	1.635012853	0	0.961466718
ACOT11	4.807708361	6.47932561	6.783715089	8.161607052	5.074364267	0.860123064	6.803932648
ACOT12	0	0	0	0.011802895	0	0.010504958	0
ACOT13	13.36533259	9.595516367	7.599661777	10.55643322	10.76646661	2.194909601	4.268565021
ACOT2	13.67133643	7.008163968	0.02578351	6.224753842	8.355269473	7.15595832	6.853603065
ACOT4	0.276732778	0.284103105	0.080101326	0.781592665	0.216689171	0	1.13626089
ACOT6	0.031697503	0	0	0.049896094	0.065332088	0.007035397	0.094686477
ACOT7	39.0314712	53.27082852	35.37062777	23.65036833	45.50878159	75.29937579	3.556297447
ACOT8	18.86213203	20.065225	30.13976834	23.34907073	21.24751316	20.33958849	10.65679787
ACOT9	9.541714306	11.01872145	9.234216878	15.59622012	11.48776147	27.94952708	2.557972263
ACOX1	5.373451081	10.40238456	2.795993901	4.210556872	8.564388376	6.082122365	7.301864456
ACOX2	0.081755946	0.030010364	0.211914301	1.267709162	0.206660523	12.45283658	0.004667257
ACOX3	10.95684399	6.586328688	11.67340842	7.967464357	7.722319817	8.570818767	2.160119896
ACOXL	0	0.078937672	0.037958403	0.03859246	0.124485538	0	0.340068298
ACP1	68.39870053	67.38076931	111.8711391	65.46814478	77.25535025	59.37864808	37.02411356
ACP2	6.647430013	12.72674506	7.737903566	9.515966715	10.42308123	11.22409373	15.71250419
ACP5	0.0502096	0.016022655	2.462478545	0.031020556	0.016520143	0.794099007	0.43664146
ACP6	0.581704628	0.772231167	0.509522575	0	1.213281046	9.625487452	10.24842735
ACPP	4.552868465	11.60434873	5.990203335	7.966921268	2.4292393	0.34893732	0.521366766
ACPT	0.235427124	0.093667006	0.0178255	0.054202583	0.060611255	0.594325956	0.447793544
ACR	0.019597717	0	0.271725792	0.017728829	0	0	0.038791309
ACRBP	3.651112387	8.102170499	1.493373944	9.100705503	8.471829586	0	0.353894169
ACRC	1.273518518	0.602497662	0.898609741	0.440182646	0.329877306	0.420846748	5.827342517
ACRV1	0.575735029	0.569989598	0.355692541	0.62722856	0.379554328	0.515070823	0.165657108
ACSBG1	0.079888929	0.068977228	0.017958825	0.059793693	0.090247085	0.130162728	0.142947189
ACSBG2	0.175639673	0.191216881	0.046627006	0.126405645	0.137475218	0.056660697	0.116236006
ACSF2	4.020955128	3.367061594	0.23927198	4.813067288	3.942069347	3.440152973	13.30290652
ACSF3	10.82197345	7.873505478	4.067155965	7.8822068	8.646516508	9.74233762	4.535813615
ACSL1	33.24668879	34.01406092	36.3426747	8.732232386	49.12769186	3.46808267	7.485863608
ACSL3	21.16028889	20.01037551	18.08686163	21.00207103	18.44133002	49.51570466	37.35921692
ACSL4	27.79447912	21.55713561	22.49431599	20.55237604	19.57903953	21.93693202	6.482593255
ACSL5	26.56661396	32.0498898	27.10047405	24.02048398	30.98254231	0.155363958	60.08197581
ACSL6	0.081169343	0.126411328	0.096656423	0.076171691	0.08097646	0.284912508	0.313854439
ACSM1	0.19735036	0	0.044487573	0	0	0	0.008323278
ACSM2A	0.009643824	0.008175067	0	0	0	0.025617539	0.02434596
ACSM2B	0	0	0.011175964	0	0.009678689	0.013991151	0
ACSM3	1.475380919	0.162449599	1.238678991	0.851158378	0.571335495	0.44846049	6.429878236
ACSM4	0.286375444	0.404132715	0.241724231	0.146756988	0.510768819	0.155867327	0.037748825
ACSM5	0.011627585	0	0	0	0.021730421	0	0
ACSM6	0	0	0	0.013546759	0	0	0.076527185
ACSS1	9.768497916	4.024689387	3.284462155	11.90304957	1.674327787	0.039782194	13.58099515
ACSS2	34.5345418	9.280893532	8.697081716	15.27806458	7.675267857	9.753949755	7.427854228
ACSS3	0.018364041	0.037862259	0.025098475	0.007508048	0.018911948	0.026748588	0.112804661
ACTA1	0.22072441	0.26280518	0.046969553	0.345192363	0.073499335	0.872079586	0.221007018
ACTA2	5.102574106	2.497106613	1.453730271	1.24258645	3.640941394	6.528317996	0.367048972
ACTA2-AS1	0.047085408	0.043167768	0.062200407	0.066008032	0.050505998	0.31018206	0.203445328
ACTB	3665.324563	3372.274358	3536.84225	5231.221429	3046.593274	2704.165449	580.8558045
ACTBL2	0	0	0	0	0	0.325646258	0.003858951
ACTC1	0	0.006050673	0	0	0	0.025094664	0.029231002
ACTG1	1950.598806	1844.457569	1257.145176	2230.679174	1951.231508	2776.996024	456.1936487
ACTG1P17	0.324603076	0.549541248	0.262489802	0.426974276	0.253391351	0.553685023	0.858629674
ACTG1P20	0.977183329	0.651330593	0.760304379	1.090249762	0.437435005	1.528533629	1.832273887
ACTG1P4	0.082885213	0.03782544	0.011509453	0.08180399	0	0.057941959	0.267169403
ACTG2	0.02277266	0.174465881	0.157873471	0.040448773	0.178816154	0.923848377	0.074469994
ACTL10	0.473067783	1.10957155	0.118353317	0.078765372	0.637073254	0.323725829	2.868398113
ACTL6A	59.15809605	84.08706613	95.44294212	88.47101073	93.10748743	77.79779894	17.30516467
ACTL6B	0	0	0	0	0.035646766	0	0.030140751
ACTL7A	0	0.015761352	0	0	0.016250726	0	0.022595891
ACTL7B	0	0.017300296	0	0	0.043855958	0	0.020945317
