Sample	Cell_line	Clone	Timepoint	Replicate	Cancer_type	ICCLE name
HCT116_1_LIB1_T0	HCT116	1	0	Initial	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T0	HCT116	2	0	Initial	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HeLa_T0	HeLa	1	0	Initial	Cervical carcinoma	NA
RPE1_T0	RPE1	1	0	Initial	Retinal epithelial cells	NA
DLD_T0	DLD	1	0	Initial	Colorectal carcinoma	DLD1_LARGE_INTESTINE
GBM_T0	GBM	1	0	Initial	Patient-derived glioblastoma	NA
HCT116_1_LIB1_T6_A	HCT116	1	6	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T6_B	HCT116	1	6	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T9_A	HCT116	1	9	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T9_B	HCT116	1	9	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T12_A	HCT116	1	12	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T12_B	HCT116	1	12	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T15_A	HCT116	1	15	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T15_B	HCT116	1	15	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T18_A	HCT116	1	18	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_1_LIB1_T18_B	HCT116	1	18	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T08A	HCT116	2	8	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T08B	HCT116	2	8	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T08C	HCT116	2	8	C	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T12A	HCT116	2	12	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T12B	HCT116	2	12	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T12C	HCT116	2	12	C	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T15A	HCT116	2	15	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T15B	HCT116	2	15	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T15C	HCT116	2	15	C	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T18A	HCT116	2	18	A	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T18B	HCT116	2	18	B	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HCT116_2_T18C	HCT116	2	18	C	Colorectal carcinoma	HCT116_LARGE_INTESTINE
HeLa_T08A	HeLa	1	8	A	Cervical carcinoma	NA
HeLa_T08B	HeLa	1	8	B	Cervical carcinoma	NA
HeLa_T08C	HeLa	1	8	C	Cervical carcinoma	NA
HeLa_T12A	HeLa	1	12	A	Cervical carcinoma	NA
HeLa_T12B	HeLa	1	12	B	Cervical carcinoma	NA
HeLa_T12C	HeLa	1	12	C	Cervical carcinoma	NA
HeLa_T15A	HeLa	1	15	A	Cervical carcinoma	NA
HeLa_T15B	HeLa	1	15	B	Cervical carcinoma	NA
HeLa_T15C	HeLa	1	15	C	Cervical carcinoma	NA
HeLa_T18A	HeLa	1	18	A	Cervical carcinoma	NA
HeLa_T18B	HeLa	1	18	B	Cervical carcinoma	NA
HeLa_T18C	HeLa	1	18	C	Cervical carcinoma	NA
RPE1_T09A	RPE1	1	9	A	Retinal epithelial cells	NA
RPE1_T09B	RPE2	1	9	B	Retinal epithelial cells	NA
RPE1_T12A	RPE3	1	12	A	Retinal epithelial cells	NA
RPE1_T12B	RPE4	1	12	B	Retinal epithelial cells	NA
RPE1_T15A	RPE5	1	15	A	Retinal epithelial cells	NA
RPE1_T15B	RPE6	1	15	B	Retinal epithelial cells	NA
RPE1_T18A	RPE7	1	18	A	Retinal epithelial cells	NA
RPE1_T18B	RPE8	1	18	B	Retinal epithelial cells	NA
DLD_ETOH_R1	DLD	1	NA	R1	Colorectal carcinoma	DLD1_LARGE_INTESTINE
DLD_ETOH_R2	DLD	1	NA	R2	Colorectal carcinoma	DLD1_LARGE_INTESTINE
DLD_ETOH_R3	DLD	1	NA	R3	Colorectal carcinoma	DLD1_LARGE_INTESTINE
GBM_T05A	GBM	1	5	A	Patient-derived glioblastoma	NA
GBM_T05B	GBM	1	5	B	Patient-derived glioblastoma	NA
GBM_T13A	GBM	1	13	A	Patient-derived glioblastoma	NA
GBM_T13B	GBM	1	13	B	Patient-derived glioblastoma	NA
GBM_T21A	GBM	1	21	A	Patient-derived glioblastoma	NA
GBM_T21B	GBM	1	21	B	Patient-derived glioblastoma	NA
